ensembl_id,gene_name,baseMean,TP317_300_vs_CONTR_log2FC,TP317_300_vs_CONTR_pvalue,TP317_300_vs_CONTR_padj
ENSMUSG00000035242,Oaz1,28960.654838525337,-0.2882204141142002,0.26303509986541185,0.9896287216067934
ENSMUSG00000007655,Cav1,29312.249073546973,-0.05538679139226612,0.6918812704066679,0.9896287216067934
ENSMUSG00000062070,Pgk1,27415.848211197903,-0.15493110650998226,0.5376649597333376,0.9896287216067934
ENSMUSG00000016559,H3f3b,29065.938778550506,-0.0705376763372782,0.5340897572845971,0.9896287216067934
ENSMUSG00000079523,Tmsb10,28065.97918611358,-0.18345471504455022,0.4043115877787372,0.9896287216067934
ENSMUSG00000064367,mt-Nd5,20402.835923919916,0.427990538680972,0.2777659763028749,0.9896287216067934
ENSMUSG00000031972,Acta1,6646.209061866271,2.0056844240864438,0.14240605340288778,0.9896287216067934
ENSMUSG00000031996,Aplp2,28580.51284876084,0.034478037823080857,0.8281946759104732,0.9896287216067934
ENSMUSG00000057841,Rpl32,28084.358097416454,-0.32892518671021037,0.1295233173021129,0.9896287216067934
ENSMUSG00000029430,Ran,27788.192220447825,-0.32336346180391107,0.14567567014205457,0.9896287216067934
ENSMUSG00000037805,Rpl10a,27316.87323920767,-0.31652654392070595,0.10827748443630716,0.9896287216067934
ENSMUSG00000023484,Prph,27686.172531696382,-0.04814031888541891,0.6693185208433152,0.9896287216067934
ENSMUSG00000002602,Axl,27927.72207234427,0.052886381280670317,0.7676779557403465,0.9896287216067934
ENSMUSG00000058655,Eif4b,27721.715601845044,0.12787279892030431,0.4442944419626843,0.9896287216067934
ENSMUSG00000027248,Pdia3,27288.622031047496,-0.2514037216719148,0.10781565953466073,0.9896287216067934
ENSMUSG00000030189,Ybx3,26239.308711098223,0.2014888531028567,0.17656368488560126,0.9896287216067934
ENSMUSG00000029064,Gnb1,27040.026328066484,0.03655728477997434,0.6254011110206057,0.9896287216067934
ENSMUSG00000025203,Scd2,27406.062158099077,0.11672137349533276,0.6694006125439104,0.9896287216067934
ENSMUSG00000040249,Lrp1,26954.166147609318,0.1956569022574504,0.6742547649923648,0.9896287216067934
ENSMUSG00000021546,Hnrnpk,26968.204526236852,-0.04238089636513776,0.523437798715435,0.9896287216067934
ENSMUSG00000032562,Gnai2,26978.94294880404,0.0460806899141408,0.540760588262033,0.9896287216067934
ENSMUSG00000025428,Atp5a1,26152.434698610636,-0.0654274724066941,0.5237211350613186,0.9896287216067934
ENSMUSG00000001440,Kpnb1,26588.66790321308,0.1379270105534606,0.47073960430556516,0.9896287216067934
ENSMUSG00000046434,Hnrnpa1,26342.507827133373,0.16584292325570663,0.14581609317669267,0.9896287216067934
ENSMUSG00000020849,Ywhae,25970.20696068373,-0.16257074400180946,0.2646528777830731,0.9896287216067934
ENSMUSG00000034708,Grn,25970.012662700883,0.2525676873693339,0.1364602850524433,0.9896287216067934
ENSMUSG00000020458,Rtn4,25601.482797568773,0.10705446301233582,0.23458583129049604,0.9896287216067934
ENSMUSG00000019505,Ubb,25429.563099925283,0.011320368766971524,0.9342088406625321,0.9896287216067934
ENSMUSG00000020719,Ddx5,25812.59718191146,0.0859557689449009,0.2846724144666144,0.9896287216067934
ENSMUSG00000027940,Tpm3,25285.261672942375,-0.024867948215499893,0.8310810072578512,0.9896287216067934
ENSMUSG00000024359,Hspa9,25248.090759367627,0.0956143735188869,0.3613916027953713,0.9896287216067934
ENSMUSG00000021270,Hsp90aa1,25122.5173438818,0.09727869644186539,0.5323002074220228,0.9896287216067934
ENSMUSG00000031565,Fgfr1,25527.153337578784,0.13035024800725914,0.5966978789356998,0.9896287216067934
ENSMUSG00000024659,Anxa1,25053.023192463177,-0.25424135233307943,0.24104989684032074,0.9896287216067934
ENSMUSG00000017404,Rpl19,24799.88175685096,-0.37509687726803115,0.09092708955488725,0.9896287216067934
ENSMUSG00000076432,Ywhaq,25202.43108156435,-0.33740411764678413,0.07550714637836564,0.9896287216067934
ENSMUSG00000026043,Col3a1,12612.262580150358,0.3025416402461127,0.7499673267893764,0.9896287216067934
ENSMUSG00000020241,Col6a2,24856.2209147974,-0.16039925164195962,0.5148346843038204,0.9896287216067934
