ensembl_id,gene_name,baseMean,TP317_vs_CONTR_log2FC,TP317_vs_CONTR_pvalue,TP317_vs_CONTR_padj
ENSMUSG00000022443,Myh9,36824.62306697653,-0.04241536139874561,0.6742565192625072,0.8882394395582238
ENSMUSG00000045128,Rpl18a,36548.760366963186,0.03230944912908625,0.8307210667445156,0.947080862225148
ENSMUSG00000044533,Rps2,36437.16051670991,0.03735700277281289,0.810485783527128,0.9397935316671475
ENSMUSG00000064080,Fbln2,35688.43898381278,0.2882261765595122,0.07171432296475563,0.39736548700487395
ENSMUSG00000001025,S100a6,35407.26369435604,0.11270431877033125,0.5990648450713763,0.8554127675079558
ENSMUSG00000026864,Hspa5,35234.13139877125,0.18563428828873244,0.208830426848293,0.5846015720361045
ENSMUSG00000064363,mt-Nd4,35074.04024461617,0.14774510082515052,0.33777764595565085,0.6887966937165474
ENSMUSG00000060036,Rpl3,35202.45755765646,0.03671611529813017,0.6595145671594802,0.8827078080814222
ENSMUSG00000071644,Eef1g,34839.780065955645,0.17244245174449302,0.034534629605269936,0.3046020616965343
ENSMUSG00000020372,Rack1,34887.78959685732,0.09149997451106617,0.23259590750057613,0.6055833272436202
ENSMUSG00000031502,Col4a1,34674.678868938405,0.04745188718410147,0.7539063927436458,0.9202279802316633
ENSMUSG00000026238,Ptma,33942.31485192807,0.05348859304251985,0.672063298209894,0.8876861152492073
ENSMUSG00000024164,C3,34730.36845505208,-0.7061082763454372,0.1910427937702387,0.5666982719013982
ENSMUSG00000005610,Eif4g2,33488.3461373276,0.14622026699516685,0.28532105617308157,0.6490754949262372
ENSMUSG00000032231,Anxa2,33236.20144184883,0.21110437212052335,0.0640913475964513,0.3839702344667986
ENSMUSG00000027940,Tpm3,32509.018897388567,0.22769905919869027,0.13441654800697705,0.5030459670890288
ENSMUSG00000000303,Cdh1,33383.969860782476,-0.40060412943926377,0.1445481913513843,0.5161682988887976
ENSMUSG00000007892,Rplp1,32398.988316119303,0.257924307164547,0.04904675994499561,0.3459990983568639
ENSMUSG00000063229,Ldha,31734.547577778834,0.22300231534828233,0.018922134916863557,0.24227588969512176
ENSMUSG00000029614,Rpl6,31763.473784471887,0.1097311722758054,0.16525220575082067,0.5423646117666822
ENSMUSG00000027248,Pdia3,31086.322437800627,0.13212395124880869,0.22411353213097895,0.5993928848771007
ENSMUSG00000041936,Agrn,31595.795620220673,-0.3068876927250897,0.014353135532461557,0.2213136226595005
ENSMUSG00000000957,Mmp14,30591.97288551884,0.5024592754443586,0.00032925278991461027,0.049878477264555326
ENSMUSG00000003970,Rpl8,31191.350861944113,0.06229489881557352,0.6073273789865286,0.8594358100875465
ENSMUSG00000058558,Rpl5,30971.355019679235,0.08071807264510333,0.4217950200044961,0.7502515251836965
ENSMUSG00000003814,Calr,30937.162060890278,0.002083703520836377,0.98746303592206,0.9967428191300377
ENSMUSG00000056201,Cfl1,30623.96778906678,0.26370134674327916,0.0164998063522928,0.2327407850546203
ENSMUSG00000023010,Tmbim6,30964.857027246704,0.0003501490200808625,0.9974146743501866,0.9994809397615542
ENSMUSG00000021939,Ctsb,29553.312088968058,0.18563598563471606,0.0061696545848405745,0.16267902337293036
ENSMUSG00000024940,Ltbp3,29689.26150139709,-0.012903726952307055,0.9179521034576898,0.9767077487934317
ENSMUSG00000028063,Lmna,29004.424719322065,0.20562819361254253,0.09935966921459335,0.44905447471991744
ENSMUSG00000031799,Tpm4,28341.784476718098,0.3231203979384427,0.02602280007413435,0.2746552309344198
ENSMUSG00000004980,Hnrnpa2b1,28466.966948528458,0.11016092261507048,0.41868080474816793,0.7489298500498782
ENSMUSG00000006333,Rps9,28103.946634571603,0.14577169014148553,0.3213501700065029,0.6749675358883261
ENSMUSG00000031207,Msn,27527.034059000736,0.2918283011354722,0.039308743066560674,0.32131751276912734
ENSMUSG00000031320,Rps4x,27707.556024178586,0.10162471377364221,0.301672641364926,0.6587398313894913
ENSMUSG00000040488,Ltbp4,27891.745659959837,0.10631425223128813,0.6324535876952841,0.8696174221561355
ENSMUSG00000030744,Rps3,27323.329686354915,0.07275981037716595,0.5599743113047609,0.8347449122412003
ENSMUSG00000037815,Ctnna1,27453.820240611018,-0.09713481625858612,0.32286100664030004,0.6768308134857389
ENSMUSG00000064345,mt-Nd2,27141.49802893348,0.1589991753472528,0.33450506833793037,0.686567797196258
ENSMUSG00000022892,App,27392.016493586165,-0.10485899903874246,0.22068253868576704,0.5961188151309623
ENSMUSG00000025428,Atp5a1,27249.685528685313,0.0154458066933189,0.8076111590968788,0.9384115208298761
ENSMUSG00000024608,Rps14,27038.6899960606,0.1329991492338101,0.24849903276964036,0.6182918038043129
ENSMUSG00000058655,Eif4b,27129.21165805434,-0.1387799975779817,0.259988374176393,0.6279104603348195
ENSMUSG00000040152,Thbs1,25826.80368079572,0.466022282375017,,
ENSMUSG00000029767,Calu,26222.339689630782,0.21331018101191107,0.22557847179697654,0.5997563011118463
ENSMUSG00000027750,Postn,25912.989739812187,0.6305643518796781,0.01206892742105909,0.20986049792001543
ENSMUSG00000030208,Emp1,25777.43417066248,0.3240255802860777,0.12938944297314559,0.4959071763575615
ENSMUSG00000021910,Nisch,26292.85128403928,-0.08757525665807514,0.4159504087140844,0.747297383957443
ENSMUSG00000008668,Rps18,26113.28405191947,-0.03538220430433351,0.8354104512588352,0.9490383563371656
ENSMUSG00000030695,Aldoa,25895.215547322572,0.2073433973548142,0.21105844711989197,0.5873371948862902
ENSMUSG00000002985,Apoe,25874.483180484687,0.14110028038903386,0.6228491113920263,0.8658051458757694
ENSMUSG00000027712,Anxa5,25205.037836732954,0.2574741164502013,0.06881623579370193,0.3926172173774628
