ensembl_id,gene_name,baseMean,TP317_vs_CONTR_log2FC,TP317_vs_CONTR_pvalue,TP317_vs_CONTR_padj
ENSMUSG00000000001,Gnai3,13039.145339001938,-0.134634395419875,0.37184233243083586,0.6757127024482764
ENSMUSG00000000028,Cdc45,1013.6613586221433,0.6884999114288232,0.04604825947322247,0.28860019398092074
ENSMUSG00000000031,H19,2687.075294099311,4.981650007405571,2.7630300647330038e-05,0.004956009152072381
ENSMUSG00000000037,Scml2,2.377863512864872,4.315974793354769,0.136598784595173,
ENSMUSG00000000049,Apoh,13.868909502850629,0.04129082163294241,0.9776821536745848,0.991651677410818
ENSMUSG00000000056,Narf,3029.4198059020905,-0.0007281122147559232,0.9973719569250143,0.9987976321366848
ENSMUSG00000000058,Cav2,12761.602713083914,-0.18720317321127897,0.5647231897721527,0.8026332785207936
ENSMUSG00000000078,Klf6,13920.813653302594,-1.2413975206705958,0.0010813074602448276,0.04745609424733179
ENSMUSG00000000085,Scmh1,2607.337011436325,-0.22191353844876893,0.2767245881594681,0.5992712114090538
ENSMUSG00000000088,Cox5a,3065.188657211469,0.22015132226635434,0.2873920019641304,0.6086311833173353
ENSMUSG00000000093,Tbx2,109.99962750208014,-0.714239234218173,0.02956735388845667,0.24810971419587136
ENSMUSG00000000094,Tbx4,17.311452355881034,-0.7280376774076134,0.29302762594014853,0.6123310714436984
ENSMUSG00000000120,Ngfr,13.593103561365531,0.6303963949264457,0.5064247949123359,0.76735218368562
ENSMUSG00000000125,Wnt3,0.3803798158199197,1.6793839256505343,0.6378775889719546,
ENSMUSG00000000126,Wnt9a,3050.702729188465,-0.7832827392717604,0.0900579472774995,0.3790730478778343
ENSMUSG00000000127,Fer,1949.6723521207196,0.17036256790853782,0.4979386623621711,0.7623606955115775
ENSMUSG00000000131,Xpo6,3341.8966558431352,-0.11671401946289767,0.6948456629944417,0.871601228914365
ENSMUSG00000000134,Tfe3,3012.9670310089737,-0.14060503468419008,0.5278579574915464,0.7803417356540235
