ensembl_id,gene_name,baseMean,TP317_vs_CONTR_log2FC,TP317_vs_CONTR_pvalue,TP317_vs_CONTR_padj
ENSMUSG00000000001,Gnai3,13142.916948281792,-1.2726708938050488,0.001786954542380307,0.05191102945614792
ENSMUSG00000000028,Cdc45,1746.5126386144507,-0.44934487176782567,0.3067861064204991,0.7328281913447757
ENSMUSG00000000031,H19,2653.7612695085936,1.8114277129126772,0.06730744732534319,0.39243240287833797
ENSMUSG00000000037,Scml2,4.932731599938387,1.4814523914720457,0.5958820967124985,
ENSMUSG00000000049,Apoh,2.3060863092324895,-4.187142870608469,0.3666273947111025,
ENSMUSG00000000056,Narf,2023.8336598565197,-0.785947705147089,0.07598162316788555,0.41167631436610275
ENSMUSG00000000058,Cav2,8999.94606167402,-1.246536105426444,0.015699872329929324,0.18852444455145073
ENSMUSG00000000078,Klf6,9846.26634374441,-0.5678420335026182,0.20557107982048817,0.6315783584539816
ENSMUSG00000000085,Scmh1,1721.9654244651424,0.1510327746790154,0.7211852093657213,0.9372441594549394
ENSMUSG00000000088,Cox5a,4966.775119476322,0.023055945173638858,0.9652223385829665,0.9920463102155792
ENSMUSG00000000093,Tbx2,56.960486881984934,-0.4336219999796156,0.6066393209805238,0.9040710272956269
ENSMUSG00000000094,Tbx4,4.0654033560941745,5.967138823131005,0.17717273522196442,
ENSMUSG00000000120,Ngfr,28.75669229841007,1.68550359302026,0.17854085045174373,0.5970477641081241
ENSMUSG00000000125,Wnt3,1.4800642869691736,-3.5409799456001028,0.462770399925614,
ENSMUSG00000000126,Wnt9a,416.0739014894378,-1.4207059635322892,0.04814027264218266,0.3367201749741172
ENSMUSG00000000127,Fer,1553.7817085255501,-0.2144293569950448,0.6056840973726032,0.9036594000810103
ENSMUSG00000000131,Xpo6,5974.12065162669,-0.10861927179465457,0.7981810374707505,0.9545118210999893
ENSMUSG00000000134,Tfe3,4577.266079683207,0.04175442456386396,0.9179664746910379,0.9845050851777164
ENSMUSG00000000142,Axin2,240.744352171373,-0.6613191312436179,0.4619718467133034,0.8387649134240168
ENSMUSG00000000148,Brat1,1281.9474200054017,0.3453962823384811,0.5056670947395625,0.8623928356250026
ENSMUSG00000000149,Gna12,5391.452581426582,0.3011489828982108,0.48261536989562426,0.8485715244308538
ENSMUSG00000000154,Slc22a18,77.35721190164097,1.024454354686536,0.3060489454269152,0.7320381880589867
ENSMUSG00000000157,Itgb2l,6.488379079569944,0.1960338942135239,0.9312243655001928,
ENSMUSG00000000159,Igsf5,32.91492246702667,1.2883312435469592,0.43052976555384237,0.8204141732068917
ENSMUSG00000000167,Pih1d2,64.96390845270453,-0.19944675231212233,0.7973705557112309,0.9541528773253453
ENSMUSG00000000168,Dlat,4786.761632460686,-0.4118840885656296,0.34099285021912473,0.7611379632292298
ENSMUSG00000000171,Sdhd,7236.010372576544,-0.4648809881690092,0.27333322629501855,0.702330072767883
ENSMUSG00000000182,Fgf23,6.147006943506609,6.563569323026986,0.041439743173220814,
ENSMUSG00000000183,Fgf6,1.9131309911031409,4.879063911093079,0.2913514584000608,
ENSMUSG00000000184,Ccnd2,16146.81193343479,-0.1341324205960373,0.8387173907636457,0.9654696742660853
ENSMUSG00000000194,Gpr107,5365.552177947185,-0.09159414008177719,0.8244680538922818,0.9625337490367277
ENSMUSG00000000197,Nalcn,20.574376958390317,0.6434167762196483,0.7283159356689182,0.9380717093774342
ENSMUSG00000000202,Btbd17,10.341259276705042,-1.5618345775473397,0.39232430990962674,
ENSMUSG00000000204,Slfn4,934.3501480614395,-0.44239997152718175,0.549376288962656,0.8832291654473264
ENSMUSG00000000214,Th,2.0992707818070837,5.013835493683759,0.25594643613521695,
ENSMUSG00000000216,Scnn1g,0.5694742420901464,-2.189703203628828,0.6524772871397206,
ENSMUSG00000000223,Drp2,43.12307833997149,-0.3965481171483601,0.6421331520749514,0.9175295677923005
ENSMUSG00000000244,Tspan32,444.059214166827,1.6152021593498922,0.1143162304677778,0.4952638058728703
ENSMUSG00000000247,Lhx2,6.493144019566943,0.4613210710993731,0.8306306512059474,
ENSMUSG00000000248,Clec2g,1.8507912867929757,-3.873485160637551,0.4213164847136006,
ENSMUSG00000000253,Gmpr,256.59135865557,0.8677977268430124,0.3099831378088571,0.7366547427200588
ENSMUSG00000000266,Mid2,728.8340898001118,-1.9707932280610254,0.002814707680892947,0.07005975312009634
ENSMUSG00000000275,Trim25,7743.7260492759915,-0.33127410340300906,0.5445583478278604,0.8814548187193646
ENSMUSG00000000276,Dgke,701.7234477734569,-1.1278676828770382,0.0419153378873799,0.3141211005206624
ENSMUSG00000000278,Scpep1,9477.928159374314,-0.6227238402203613,0.14276213507444938,0.5457899184835429
ENSMUSG00000000282,Mnt,2584.272870430722,-0.35425122754531724,0.4437577002502351,0.8290995787559112
ENSMUSG00000000290,Itgb2,9617.701330616816,1.4728103002040518,0.05933026273585327,0.37078326236483455
ENSMUSG00000000295,Hddc2,1231.770920759754,0.034436827937706346,0.9462474713339233,0.9892320322233152
ENSMUSG00000000296,Tpd52l1,867.6508333508211,-0.35925461800268804,0.5082840997629128,0.8636342481884205
